#E,eV        Sig,b        Interpolation
 1.00000000e+06 0.000000 Lin-Lin
 1.25000000e+06 0.000003 Lin-Lin
 1.50000000e+06 0.000006 Lin-Lin
 1.75000000e+06 0.000010 Lin-Lin
 2.00000000e+06 0.000015 Lin-Lin
 2.25000000e+06 0.000021 Lin-Lin
 2.50000000e+06 0.000029 Lin-Lin
 2.75000000e+06 0.000057 Lin-Lin
 3.00000000e+06 0.000186 Lin-Lin
 3.25000000e+06 0.000630 Lin-Lin
 3.50000000e+06 0.001770 Lin-Lin
 3.75000000e+06 0.004195 Lin-Lin
 4.00000000e+06 0.008615 Lin-Lin
 4.25000000e+06 0.015940 Lin-Lin
 4.50000000e+06 0.027025 Lin-Lin
 4.75000000e+06 0.042858 Lin-Lin
 5.00000000e+06 0.064196 Lin-Lin
 5.25000000e+06 0.136926 Lin-Lin
 5.50000000e+06 0.179263 Lin-Lin
 5.75000000e+06 0.226002 Lin-Lin
 6.00000000e+06 0.275852 Lin-Lin
 6.25000000e+06 0.327041 Lin-Lin
 6.50000000e+06 0.377305 Lin-Lin
 6.75000000e+06 0.424342 Lin-Lin
 7.00000000e+06 0.466763 Lin-Lin
 7.25000000e+06 0.503909 Lin-Lin
 7.50000000e+06 0.536471 Lin-Lin
 7.75000000e+06 0.565505 Lin-Lin
 8.00000000e+06 0.591344 Lin-Lin
 8.25000000e+06 0.615162 Lin-Lin
 8.75000000e+06 0.657682 Lin-Lin
 9.25000000e+06 0.695765 Lin-Lin
 9.75000000e+06 0.730856 Lin-Lin
 1.05000000e+07 0.778427 Lin-Lin
 1.10000000e+07 0.807072 Lin-Lin
 1.15000000e+07 0.833240 Lin-Lin
 1.20000000e+07 0.857027 Lin-Lin
 1.25000000e+07 0.878554 Lin-Lin
 1.30000000e+07 0.898041 Lin-Lin
 1.40000000e+07 0.931766 Lin-Lin
 1.50000000e+07 0.959944 Lin-Lin
 1.60000000e+07 0.983723 Lin-Lin
 1.70000000e+07 1.003469 Lin-Lin
 1.85000000e+07 1.025485 Lin-Lin
 2.00000000e+07 1.039669 Lin-Lin
 2.20000000e+07 1.051934 Lin-Lin
 2.40000000e+07 1.061049 Lin-Lin
 2.60000000e+07 1.066890 Lin-Lin
 2.80000000e+07 1.068280 Lin-Lin
 3.00000000e+07 1.065560 Lin-Lin
 3.50000000e+07 1.049550 Lin-Lin
 4.50000000e+07 1.007020 Lin-Lin
 5.50000000e+07 0.962459 Lin-Lin
 6.50000000e+07 0.922049 Lin-Lin
 7.50000000e+07 0.886485 Lin-Lin
 8.50000000e+07 0.855304 Lin-Lin
 1.00000000e+08 0.815266 Lin-Lin
 1.10000000e+08 0.792203 Lin-Lin
 1.20000000e+08 0.771502 Lin-Lin
 1.30000000e+08 0.752808 Lin-Lin
 1.40000000e+08 0.735838 Lin-Lin
 1.60000000e+08 0.706191 Lin-Lin
 1.80000000e+08 0.681153 Lin-Lin
 2.00000000e+08 0.659717 Lin-Lin
