 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 03, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Fe-Mg-Si- O.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.3200E+00 g/cm3 = 7.1295E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    022.22    044.26   
     Mg     12    022.22    019.26   
     Si     14    011.11    011.13   
      O      8    044.44    025.36   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.168E-01  8.514E-02       1 A         3 A         2 A   
    1.2 eV    1.168E-01  8.912E-02       1 A         3 A         2 A   
    1.3 eV    1.215E-01  9.291E-02       1 A         3 A         2 A   
    1.4 eV    1.261E-01  9.653E-02       2 A         3 A         2 A   
    1.5 eV    1.305E-01  1.000E-01       2 A         3 A         2 A   
    1.6 eV    1.348E-01  1.033E-01       2 A         4 A         3 A   
    1.7 eV    1.390E-01  1.066E-01       2 A         4 A         3 A   
    1.8 eV    1.430E-01  1.097E-01       2 A         4 A         3 A   
      2 eV    1.507E-01  1.156E-01       2 A         4 A         3 A   
   2.25 eV    1.599E-01  1.225E-01       2 A         4 A         3 A   
2.49999 eV    1.685E-01  1.289E-01       2 A         5 A         3 A   
2.74999 eV    1.767E-01  1.349E-01       2 A         5 A         3 A   
2.99999 eV    1.846E-01  1.406E-01       2 A         5 A         4 A   
3.24999 eV    1.921E-01  1.459E-01       2 A         5 A         4 A   
3.49999 eV    1.994E-01  1.510E-01       2 A         5 A         4 A   
3.74999 eV    2.064E-01  1.559E-01       3 A         6 A         4 A   
3.99999 eV    2.132E-01  1.605E-01       3 A         6 A         4 A   
4.49999 eV    2.261E-01  1.692E-01       3 A         6 A         4 A   
