 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 19, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lead.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    2.251E-01  1.421E-02       2 A         5 A         4 A   
    1.2 eV    2.251E-01  1.500E-02       2 A         5 A         4 A   
    1.3 eV    2.343E-01  1.575E-02       2 A         6 A         4 A   
    1.4 eV    2.431E-01  1.649E-02       2 A         6 A         4 A   
    1.5 eV    2.517E-01  1.720E-02       2 A         6 A         4 A   
    1.6 eV    2.599E-01  1.789E-02       2 A         6 A         4 A   
    1.7 eV    2.679E-01  1.856E-02       3 A         7 A         5 A   
    1.8 eV    2.757E-01  1.921E-02       3 A         7 A         5 A   
      2 eV    2.906E-01  2.047E-02       3 A         7 A         5 A   
   2.25 eV    3.082E-01  2.196E-02       3 A         8 A         5 A   
2.49999 eV    3.249E-01  2.338E-02       3 A         8 A         6 A   
2.74999 eV    3.408E-01  2.473E-02       3 A         8 A         6 A   
2.99999 eV    3.559E-01  2.603E-02       3 A         9 A         6 A   
3.24999 eV    3.704E-01  2.727E-02       3 A         9 A         6 A   
3.49999 eV    3.844E-01  2.847E-02       3 A         9 A         7 A   
3.74999 eV    3.979E-01  2.963E-02       4 A        10 A         7 A   
3.99999 eV    4.110E-01  3.075E-02       4 A        10 A         7 A   
4.49999 eV    4.359E-01  3.289E-02       4 A        11 A         7 A   
4.99999 eV    4.595E-01  3.492E-02       4 A        11 A         8 A   
5.49999 eV    4.819E-01  3.684E-02       4 A        12 A         8 A   
