 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 04, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Tantalum.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.6678E+01 g/cm3 = 5.5504E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.746E-04  5.340E-05       1 A         4 A         3 A   
    1.2 eV    5.746E-04  5.633E-05       1 A         4 A         3 A   
    1.3 eV    5.981E-04  5.916E-05       1 A         4 A         3 A   
    1.4 eV    6.207E-04  6.189E-05       1 A         4 A         3 A   
    1.5 eV    6.424E-04  6.453E-05       1 A         4 A         3 A   
    1.6 eV    6.635E-04  6.710E-05       2 A         4 A         3 A   
    1.7 eV    6.839E-04  6.959E-05       2 A         4 A         3 A   
    1.8 eV    7.038E-04  7.202E-05       2 A         5 A         3 A   
      2 eV    7.418E-04  7.670E-05       2 A         5 A         3 A   
   2.25 eV    7.868E-04  8.225E-05       2 A         5 A         4 A   
2.49999 eV    8.294E-04  8.752E-05       2 A         5 A         4 A   
2.74999 eV    8.699E-04  9.254E-05       2 A         6 A         4 A   
2.99999 eV    9.086E-04  9.734E-05       2 A         6 A         4 A   
3.24999 eV    9.457E-04  1.020E-04       2 A         6 A         4 A   
3.49999 eV    9.813E-04  1.064E-04       2 A         6 A         4 A   
3.74999 eV    1.016E-03  1.107E-04       2 A         7 A         5 A   
3.99999 eV    1.049E-03  1.148E-04       2 A         7 A         5 A   
4.49999 eV    1.113E-03  1.228E-04       2 A         7 A         5 A   
4.99999 eV    1.173E-03  1.302E-04       2 A         8 A         5 A   
5.49999 eV    1.230E-03  1.374E-04       3 A         8 A         6 A   
